From Date,RH
06-07-2018 00:00,57.43
07-07-2018 00:00,55.35
08-07-2018 00:00,54.97
09-07-2018 00:00,66.81
10-07-2018 00:00,69.98
11-07-2018 00:00,72.31
12-07-2018 00:00,68.52
13-07-2018 00:00,86.03
14-07-2018 00:00,88.63
15-07-2018 00:00,81.15
16-07-2018 00:00,91.05
17-07-2018 00:00,77.53
18-07-2018 00:00,77.14
19-07-2018 00:00,73.6
20-07-2018 00:00,84
21-07-2018 00:00,90.6
22-07-2018 00:00,92.7
23-07-2018 00:00,79.28
24-07-2018 00:00,73.66
25-07-2018 00:00,83.69
26-07-2018 00:00,95.83
27-07-2018 00:00,96.02
28-07-2018 00:00,90.3
29-07-2018 00:00,77.27
30-07-2018 00:00,77.11
31-07-2018 00:00,72.89
01-08-2018 00:00,74.3
02-08-2018 00:00,62.59
03-08-2018 00:00,57.71
04-08-2018 00:00,57.4
05-08-2018 00:00,72.59
06-08-2018 00:00,86.48
07-08-2018 00:00,85.83
08-08-2018 00:00,85.86
09-08-2018 00:00,75.7
10-08-2018 00:00,80.23
11-08-2018 00:00,67.78
12-08-2018 00:00,70.13
13-08-2018 00:00,73.25
14-08-2018 00:00,74.42
15-08-2018 00:00,72.5
16-08-2018 00:00,83.48
17-08-2018 00:00,79.66
18-08-2018 00:00,78.49
19-08-2018 00:00,87.76
20-08-2018 00:00,80.09
21-08-2018 00:00,75.65
22-08-2018 00:00,84.11
23-08-2018 00:00,86.21
24-08-2018 00:00,74.2
25-08-2018 00:00,71.87
26-08-2018 00:00,69.73
27-08-2018 00:00,83.18
28-08-2018 00:00,93.24
29-08-2018 00:00,91.46
30-08-2018 00:00,79.42
31-08-2018 00:00,77.56
01-09-2018 00:00,93.25
02-09-2018 00:00,94.85
03-09-2018 00:00,96.2
04-09-2018 00:00,92.76
05-09-2018 00:00,87.77
06-09-2018 00:00,80.91
07-09-2018 00:00,94.94
08-09-2018 00:00,87.33
09-09-2018 00:00,85.36
10-09-2018 00:00,83.27
11-09-2018 00:00,74.77
12-09-2018 00:00,71.94
13-09-2018 00:00,64.83
14-09-2018 00:00,66.83
15-09-2018 00:00,63.22
16-09-2018 00:00,65.83
17-09-2018 00:00,69.86
18-09-2018 00:00,60.9
19-09-2018 00:00,67.89
20-09-2018 00:00,69.84
21-09-2018 00:00,78.27
22-09-2018 00:00,92.03
23-09-2018 00:00,89.95
24-09-2018 00:00,95.85
25-09-2018 00:00,91.58
26-09-2018 00:00,80.11
27-09-2018 00:00,79.69
28-09-2018 00:00,73.69
29-09-2018 00:00,68.79
30-09-2018 00:00,67.8
01-10-2018 00:00,71.09
02-10-2018 00:00,69.38
03-10-2018 00:00,65.09
04-10-2018 00:00,68.32
05-10-2018 00:00,69.92
06-10-2018 00:00,66.15
07-10-2018 00:00,65.56
08-10-2018 00:00,64.77
09-10-2018 00:00,64.97
10-10-2018 00:00,69.31
11-10-2018 00:00,73.24
12-10-2018 00:00,None
13-10-2018 00:00,None
14-10-2018 00:00,None
15-10-2018 00:00,49.01
16-10-2018 00:00,67.3
17-10-2018 00:00,62.34
18-10-2018 00:00,69.11
19-10-2018 00:00,64.47
20-10-2018 00:00,57.49
21-10-2018 00:00,59.71
22-10-2018 00:00,63.26
23-10-2018 00:00,61.44
24-10-2018 00:00,64.7
25-10-2018 00:00,68.97
26-10-2018 00:00,70.22
27-10-2018 00:00,71.93
28-10-2018 00:00,70.71
29-10-2018 00:00,72.36
30-10-2018 00:00,73.19
31-10-2018 00:00,76.56
01-11-2018 00:00,75.53
02-11-2018 00:00,69.56
03-11-2018 00:00,64.47
04-11-2018 00:00,57.62
05-11-2018 00:00,66.79
06-11-2018 00:00,40.57
07-11-2018 00:00,48.14
08-11-2018 00:00,70.16
09-11-2018 00:00,74.67
10-11-2018 00:00,80.16
11-11-2018 00:00,72.6
12-11-2018 00:00,76.31
13-11-2018 00:00,78.92
14-11-2018 00:00,78.25
15-11-2018 00:00,72.16
16-11-2018 00:00,54.29
17-11-2018 00:00,64
18-11-2018 00:00,72.21
19-11-2018 00:00,65.35
20-11-2018 00:00,75.43
21-11-2018 00:00,71.78
22-11-2018 00:00,68.81
23-11-2018 00:00,59.72
24-11-2018 00:00,53.17
25-11-2018 00:00,69.84
26-11-2018 00:00,75.54
27-11-2018 00:00,74.3
28-11-2018 00:00,78.01
29-11-2018 00:00,79.88
30-11-2018 00:00,76.76
01-12-2018 00:00,73.35
02-12-2018 00:00,70.7
03-12-2018 00:00,74.03
04-12-2018 00:00,75.79
05-12-2018 00:00,77.49
06-12-2018 00:00,77.95
07-12-2018 00:00,78.89
08-12-2018 00:00,79.7
