,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
264,1,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 1}",-0.3334382912833952,-0.8127047724481719,0
265,3,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 3}",-0.15886559835974043,-0.6111038466808323,0
266,5,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 5}",-0.11507721126744172,-0.5349561080116298,0
267,7,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 7}",-0.0966177377337595,-0.5162217330148844,0
268,10,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 10}",-0.09301155062153592,-0.5193942136050665,0
269,15,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 15}",-0.08369569009484108,-0.48362841999999445,0
270,20,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 20}",-0.07820135741682006,-0.5025070939326197,0
271,50,15,15,"{'max_depth': 15, 'max_features': 15, 'n_estimators': 50}",-0.07335779239747967,-0.47428447222903297,0
272,1,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 1}",-0.3705966086722765,-0.8705749932026776,0
273,3,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 3}",-0.17042429588411756,-0.5669168514661533,0
274,5,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 5}",-0.12129001527612256,-0.5991462728276592,0
275,7,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 7}",-0.10455026552035403,-0.5389606445435995,0
276,10,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 10}",-0.0964415950082275,-0.5097022626221146,0
277,15,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 15}",-0.08682246501994598,-0.5182220494589216,0
278,20,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 20}",-0.07955036067195434,-0.5177495372636638,0
279,50,20,15,"{'max_depth': 15, 'max_features': 20, 'n_estimators': 50}",-0.06970879540515638,-0.48295579228910784,0
