,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
68,300,5,2,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 300}",-0.49311077912901524,-0.5334317305013233,1
69,500,5,2,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 500}",-0.49198194343369084,-0.5318907773915089,1
70,800,5,2,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 800}",-0.49168074328496036,-0.5317282370333255,1
71,1000,5,2,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 1000}",-0.49086004562812474,-0.5311135358051341,1
72,1,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 1}",-0.5829914674264328,-0.6530560762322966,0
73,10,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 10}",-0.4976725687484488,-0.5426745234135328,1
74,15,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 15}",-0.4945751368951772,-0.5426554204181702,1
75,150,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 150}",-0.4899771251651549,-0.527615095255434,1
76,300,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 300}",-0.49275893930168335,-0.5329520864394093,1
77,500,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 500}",-0.49075486880819774,-0.5301267749721703,1
78,800,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 800}",-0.4914729510959826,-0.5308838711382285,1
79,1000,10,2,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 1000}",-0.49174164476164667,-0.5319067966324523,1
80,1,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 1}",-0.5728593998403511,-0.6176370942294082,1
81,10,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 10}",-0.49733431856262317,-0.5300751751701192,1
82,15,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 15}",-0.502131374600501,-0.5420268042604359,1
83,150,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 150}",-0.49196866193270117,-0.5344027735937805,1
84,300,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 300}",-0.4905998146712953,-0.5313000976150715,1
85,500,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 500}",-0.4910137201994359,-0.5309303923489429,1
86,800,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 800}",-0.4919935368176532,-0.5322518218859844,1
87,1000,15,2,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 1000}",-0.4918388431359625,-0.5320065396313327,1
88,1,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 1}",-0.582216485075484,-0.6592514778911396,0
89,10,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 10}",-0.511051113428941,-0.5531337884523896,1
90,15,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 15}",-0.5002088425548634,-0.5442808166217213,1
91,150,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 150}",-0.49381164727990595,-0.5343386842625126,1
92,300,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 300}",-0.49197899223144415,-0.5329633816654428,1
93,500,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 500}",-0.4911712615052193,-0.5310246478913931,1
94,800,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 800}",-0.4916301398774256,-0.5315976093067663,1
95,1000,20,2,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 1000}",-0.4912017645660082,-0.5316228208036089,1
96,1,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 1}",-0.5809893243746327,-0.6432600254307127,0
97,10,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 10}",-0.49451589085715025,-0.5390798546937619,1
98,15,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 15}",-0.49549885206841876,-0.5423839487954751,1
99,150,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 150}",-0.4920093193232334,-0.5352810925690806,1
100,300,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 300}",-0.4917466032871002,-0.5327147518256278,1
101,500,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 500}",-0.49186895665456865,-0.5334155689142461,1
102,800,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 800}",-0.4912445278722693,-0.5308647345708124,1
103,1000,25,2,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 1000}",-0.49108056816720114,-0.5308974686485955,1
104,1,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 1}",-0.5808078829603911,-0.5940646159476437,1
105,10,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 10}",-0.5021753870249127,-0.5450324812950209,1
106,15,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 15}",-0.4926944280815916,-0.528818578694068,1
107,150,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 150}",-0.491628349096554,-0.5316167720944797,1
108,300,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 300}",-0.4912145118280268,-0.5328974576291623,1
109,500,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 500}",-0.49223139357491963,-0.5333677807286413,1
110,800,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 800}",-0.491046470912892,-0.5304478244052337,1
111,1000,30,2,"{'max_depth': 2, 'max_features': 30, 'n_estimators': 1000}",-0.49120498718924355,-0.5314027642751843,1
112,1,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 1}",-0.5831859020551147,-0.6043079806318266,1
113,10,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 10}",-0.41150320564987936,-0.4519143495107671,1
114,15,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 15}",-0.41388161948604685,-0.4548995223180056,1
115,150,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 150}",-0.4017308431143659,-0.43816051918013776,1
116,300,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 300}",-0.39986558456444354,-0.43427802160312207,1
